-0.17	-0.05	1.01	2.18	-5.14	-1.65	-0.19	-0.06	0.99	23.87
-0.16	-0.04	1.00	4.87	-5.08	-2.14	-0.19	-0.06	0.99	23.86
-0.17	-0.02	1.01	5.11	-4.41	-2.26	-0.19	-0.06	0.99	23.88
-0.17	-0.03	1.02	1.08	-4.53	-0.67	-0.19	-0.06	0.99	23.85
-0.15	-0.04	1.02	-1.11	-6.42	1.95	-0.19	-0.06	0.99	23.87
-0.16	-0.05	1.01	0.78	-4.22	4.58	-0.19	-0.06	0.99	23.87
-0.18	-0.04	1.01	2.00	-4.34	5.43	-0.19	-0.06	0.99	23.86
-0.18	-0.01	1.01	3.65	-2.45	0.67	-0.19	-0.06	0.99	23.86
-0.21	-0.01	1.00	1.76	-5.75	-3.11	-0.19	-0.06	0.99	23.88
-0.17	-0.03	1.01	0.60	-5.20	-2.99	-0.19	-0.06	0.99	23.87
-0.16	-0.05	1.02	0.17	-5.87	-1.16	-0.19	-0.06	0.99	23.89
-0.17	-0.05	1.02	0.47	-2.94	-0.24	-0.19	-0.06	0.99	23.88
-0.19	-0.04	1.01	-0.62	-3.73	1.10	-0.19	-0.06	0.99	23.89
-0.18	-0.03	1.01	-0.50	-4.95	1.10	-0.19	-0.06	0.99	23.88
-0.18	-0.05	1.00	0.35	-5.81	-0.06	-0.19	-0.06	0.99	23.90
-0.18	-0.05	1.00	0.60	-6.18	-0.98	-0.19	-0.06	0.99	23.88
-0.18	-0.05	1.00	3.71	-6.24	-1.77	-0.19	-0.06	0.99	23.88
-0.18	-0.04	1.02	3.16	-6.18	-1.95	-0.19	-0.06	0.99	23.86
-0.17	-0.06	1.01	3.28	-6.05	-1.28	-0.19	-0.06	0.99	23.89
-0.17	-0.05	1.01	4.08	-5.75	-1.22	-0.19	-0.06	0.99	23.87
-0.17	-0.04	1.01	3.77	-6.11	-0.18	-0.19	-0.06	0.99	23.90
-0.16	-0.03	1.01	4.99	-5.75	-1.53	-0.19	-0.06	0.99	23.88
-0.18	-0.03	1.01	4.69	-4.83	-1.53	-0.19	-0.06	0.99	23.87
-0.17	-0.03	1.02	3.28	-4.89	-2.20	-0.19	-0.06	0.99	23.88
-0.17	-0.04	1.02	4.38	-2.57	-1.59	-0.19	-0.06	0.99	23.89
-0.18	-0.06	1.01	7.13	-0.74	0.12	-0.19	-0.06	0.99	23.89
-0.18	-0.04	1.01	7.19	0.66	-5.25	-0.19	-0.06	0.99	23.89
