0.07	-0.03	1.00	0.05	-0.04	0.17	26.24
0.07	-0.03	1.00	-0.01	0.15	-0.32	26.24
0.07	-0.03	1.00	-0.01	0.02	-0.08	26.22
0.07	-0.03	1.00	-0.01	0.02	0.17	26.23
0.07	-0.03	1.00	-0.01	0.08	-0.26	26.21
0.07	-0.03	1.01	0.05	0.02	-0.01	26.23
0.07	-0.03	1.00	-0.01	0.08	-0.08	26.22
0.07	-0.03	1.00	-0.07	0.08	0.05	26.24
0.07	-0.03	1.00	-0.01	0.02	-0.08	26.23
0.07	-0.03	1.00	-0.01	0.21	-0.01	26.26
0.07	-0.03	1.00	-0.07	0.15	-0.14	26.23
0.07	-0.03	1.00	-0.01	-0.04	0.11	26.24
0.07	-0.03	1.00	-0.19	0.02	-0.08	26.24
0.07	-0.03	1.00	-0.13	0.02	-0.01	26.24
0.07	-0.03	1.00	-0.01	0.08	-0.01	26.21
0.07	-0.03	1.00	-0.01	0.21	-0.14	26.24
0.07	-0.03	1.00	-0.07	0.02	-0.08	26.24
0.07	-0.03	1.00	-0.13	-0.04	0.05	26.23
0.07	-0.03	1.00	-0.01	0.21	-0.20	26.24
0.07	-0.03	1.00	-0.13	0.02	0.05	26.23
0.07	-0.03	1.00	-0.07	0.15	-0.26	26.23
0.07	-0.03	1.00	-0.01	0.08	-0.08	26.24
0.07	-0.03	1.00	-0.07	-0.10	0.17	26.25
0.07	-0.03	1.00	-0.07	0.08	-0.44	26.22
0.07	-0.03	1.00	-0.19	0.02	0.23	26.22
0.07	-0.03	1.00	-0.01	0.02	-0.01	26.24
0.07	-0.03	1.00	-0.07	0.08	-0.32	26.23
0.07	-0.03	1.00	-0.13	-0.04	0.23	26.23
0.07	-0.03	1.00	-0.07	0.02	-0.08	26.24
0.07	-0.03	1.00	-0.07	0.15	-0.20	26.23
0.07	-0.03	1.00	0.05	-0.10	0.17	26.24
0.07	-0.03	1.00	-0.01	0.21	-0.32	26.22
0.07	-0.03	1.00	-0.01	-0.04	0.17	26.24
0.07	-0.03	1.00	-0.01	0.15	-0.20	26.22
0.07	-0.03	1.00	-0.07	0.02	-0.08	26.25
0.07	-0.03	1.00	-0.07	-0.10	0.17	26.25
